update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,918.8834328120475,2,0.0,0.0,0,0,0.0,0.0,0,0,1.9177506566047668,-0.09908194653689861,-0.01503743790090084,0.0015098741423571482,0.04024622768107586,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,1042.470573586483,4,0.06842500064522028,0.1366264593374607,0.0,0.5067999958992004,237.9375,28.161296023975886,137.0,250.0,1.9344248622655869,-0.06450588209554553,-0.03277015150524676,0.0018130989628843963,0.018008810838528694,0.06842500064522028,0.1366264593374607,0.0,0.5067999958992004
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,1309.9294770688161,5,0.05740000028163195,0.10403787734388527,0.0,0.3303999900817871,241.0,17.76231966833161,186.0,250.0,1.933777779340744,-0.05341041041538119,-0.012785424594767392,0.0004729001084342599,0.01120429693244842,0.05740000028163195,0.10403787734388527,0.0,0.3303999900817871
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,1358.8469347723194,7,0.04597499966621399,0.09978451325141566,0.0,0.3303999900817871,242.4375,17.58894805694758,186.0,250.0,1.9344183206558228,-0.04157410794869065,-0.019222198519855738,0.0004725413891719654,0.011037692850165854,0.04597499966621399,0.09978451325141566,0.0,0.3303999900817871
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,1181.7868329233736,9,0.025325000286102295,0.06787145533478289,0.0,0.23319999873638153,246.4375,9.892982045369333,213.0,250.0,1.9415921121835709,-0.030814473517239094,-0.00674614921445027,5.385502345234272e-05,0.004168245638268137,0.025325000286102295,0.06787145533478289,0.0,0.23319999873638153
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,1275.4268209009451,10,0.02150000026449561,0.062319740779936315,0.0,0.24400000274181366,247.5,9.682458365518542,210.0,250.0,1.9385292530059814,-0.015739690978080034,-0.009083827142603695,0.0003803740873991046,0.01370061372572982,0.02150000026449561,0.062319740779936315,0.0,0.24400000274181366
